symbol,successful_source,successful_attempt_order,fallback_used,attempted_sources,failed_sources,errors
300720.SZ,eastmoney,1.0,False,eastmoney,,
300747.SZ,eastmoney,1.0,False,eastmoney,,
300750.SZ,eastmoney,1.0,False,eastmoney,,
300752.SZ,eastmoney,1.0,False,eastmoney,,
300761.SZ,eastmoney,1.0,False,eastmoney,,
300762.SZ,eastmoney,1.0,False,eastmoney,,
300770.SZ,eastmoney,1.0,False,eastmoney,,
300780.SZ,eastmoney,1.0,False,eastmoney,,
300786.SZ,eastmoney,1.0,False,eastmoney,,
300805.SZ,eastmoney,1.0,False,eastmoney,,
300809.SZ,eastmoney,1.0,False,eastmoney,,
300810.SZ,eastmoney,1.0,False,eastmoney,,
300816.SZ,eastmoney,1.0,False,eastmoney,,
300820.SZ,eastmoney,1.0,False,eastmoney,,
300826.SZ,eastmoney,1.0,False,eastmoney,,
300835.SZ,eastmoney,1.0,False,eastmoney,,
300839.SZ,eastmoney,1.0,False,eastmoney,,
300841.SZ,eastmoney,1.0,False,eastmoney,,
300842.SZ,eastmoney,1.0,False,eastmoney,,
300844.SZ,eastmoney,1.0,False,eastmoney,,
300846.SZ,eastmoney,1.0,False,eastmoney,,
300854.SZ,eastmoney,1.0,False,eastmoney,,
300857.SZ,eastmoney,1.0,False,eastmoney,,
300861.SZ,eastmoney,1.0,False,eastmoney,,
300866.SZ,eastmoney,1.0,False,eastmoney,,
300872.SZ,eastmoney,1.0,False,eastmoney,,
300873.SZ,eastmoney,1.0,False,eastmoney,,
300878.SZ,eastmoney,1.0,False,eastmoney,,
300880.SZ,eastmoney,1.0,False,eastmoney,,
300882.SZ,eastmoney,1.0,False,eastmoney,,
300890.SZ,eastmoney,1.0,False,eastmoney,,
300891.SZ,eastmoney,1.0,False,eastmoney,,
300897.SZ,eastmoney,1.0,False,eastmoney,,
300904.SZ,eastmoney,1.0,False,eastmoney,,
300911.SZ,eastmoney,1.0,False,eastmoney,,
300916.SZ,eastmoney,1.0,False,eastmoney,,
300927.SZ,eastmoney,1.0,False,eastmoney,,
300930.SZ,eastmoney,1.0,False,eastmoney,,
300936.SZ,eastmoney,1.0,False,eastmoney,,
300937.SZ,eastmoney,1.0,False,eastmoney,,
300939.SZ,eastmoney,1.0,False,eastmoney,,
300958.SZ,eastmoney,1.0,False,eastmoney,,
300965.SZ,eastmoney,1.0,False,eastmoney,,
300967.SZ,eastmoney,1.0,False,eastmoney,,
300979.SZ,eastmoney,1.0,False,eastmoney,,
300981.SZ,eastmoney,1.0,False,eastmoney,,
300985.SZ,eastmoney,1.0,False,eastmoney,,
300986.SZ,eastmoney,1.0,False,eastmoney,,
300997.SZ,eastmoney,1.0,False,eastmoney,,
300998.SZ,eastmoney,1.0,False,eastmoney,,
300999.SZ,eastmoney,1.0,False,eastmoney,,
301002.SZ,eastmoney,1.0,False,eastmoney,,
301010.SZ,eastmoney,1.0,False,eastmoney,,
301012.SZ,eastmoney,1.0,False,eastmoney,,
301018.SZ,eastmoney,1.0,False,eastmoney,,
301021.SZ,eastmoney,1.0,False,eastmoney,,
301023.SZ,eastmoney,1.0,False,eastmoney,,
301027.SZ,eastmoney,1.0,False,eastmoney,,
301031.SZ,eastmoney,1.0,False,eastmoney,,
