date,symbol,side,shares,price,execution_price,raw_value,execution_value,commission,stamp_tax,transfer_fee,slippage,total_cost,cash_after
2025-12-01,000039.SZ,sell,2700,9.0,8.9982,24300.0,24295.140000000003,7.289999999999999,12.15,0.24300000000000002,4.859999999996944,24.54299999999694,102852.95700000037
2025-12-01,000059.SZ,sell,4300,5.27,5.268946,22660.999999999996,22656.4678,6.7982999999999985,11.330499999999999,0.22660999999999998,4.532199999997829,22.887609999997828,125491.06939000037
2025-12-01,000088.SZ,sell,400,4.3,4.2991399999999995,1720.0,1719.6559999999997,5.0,0.86,0.0172,0.3440000000002783,6.2212000000002785,127204.84819000037
2025-12-01,000157.SZ,sell,2300,7.91,7.908418,18193.0,18189.3614,5.4578999999999995,9.0965,0.18193,3.638599999998405,18.374929999998407,145379.47326000038
2025-12-01,000338.SZ,sell,1400,17.49,17.486501999999998,24485.999999999996,24481.102799999997,7.345799999999998,12.242999999999999,0.24486,4.89719999999943,24.730859999999424,169840.74240000037
2025-12-01,000507.SZ,sell,300,5.32,5.318936000000001,1596.0,1595.6808000000003,5.0,0.798,0.015960000000000002,0.3191999999996824,6.133159999999682,171430.60924000037
2025-12-01,000516.SZ,sell,700,4.76,4.759048,3332.0,3331.3336,5.0,1.666,0.03332,0.6664000000000669,7.365720000000067,174755.24352000037
2025-12-01,000539.SZ,sell,400,4.57,4.569086,1828.0,1827.6344000000001,5.0,0.914,0.01828,0.3655999999998585,6.297879999999858,176576.94564000037
2025-12-01,000554.SZ,sell,2700,6.78,6.778644000000001,18306.0,18302.3388,5.4918,9.153,0.18306000000000003,3.6611999999986438,18.489059999998645,194864.45658000038
2025-12-01,000565.SZ,sell,2200,7.46,7.458508,16412.0,16408.7176,5.0,8.206,0.16412000000000002,3.2824000000000524,16.652520000000052,211259.80406000037
2025-12-01,000582.SZ,sell,200,8.74,8.738252000000001,1748.0,1747.6504000000002,5.0,0.874,0.017480000000000002,0.3495999999997821,6.241079999999782,213001.56298000037
2025-12-01,000591.SZ,sell,200,4.44,4.439112000000001,888.0000000000001,887.8224000000001,5.0,0.44400000000000006,0.008880000000000002,0.177599999999984,5.630479999999984,213883.93250000037
2025-12-01,000597.SZ,sell,200,5.5,5.4989,1100.0,1099.78,5.0,0.55,0.011000000000000001,0.22000000000002728,5.781000000000027,214978.1515000004
2025-12-01,000652.SZ,sell,4300,4.41,4.409118,18963.0,18959.207400000003,5.688899999999999,9.4815,0.18963000000000002,3.7925999999970372,19.15262999999704,233921.9988700004
2025-12-01,000663.SZ,sell,2000,8.78,8.778243999999999,17560.0,17556.487999999998,5.268,8.78,0.1756,3.5120000000024447,17.735600000002442,251464.2632700004
2025-12-01,000690.SZ,sell,100,4.2,4.19916,420.0,419.916,5.0,0.21,0.004200000000000001,0.08400000000000318,5.298200000000003,251878.9650700004
2025-12-01,000705.SZ,sell,1700,9.55,9.54809,16235.000000000002,16231.753,5.0,8.117500000000001,0.16235000000000002,3.247000000001208,16.52685000000121,268097.4382200004
2025-12-01,000719.SZ,sell,1300,12.22,12.217556,15886.0,15882.8228,5.0,7.9430000000000005,0.15886,3.1772000000000844,16.279060000000086,283967.15916000045
2025-12-01,000726.SZ,sell,200,6.9,6.89862,1380.0,1379.724,5.0,0.6900000000000001,0.013800000000000002,0.2760000000000673,5.9798000000000675,285341.1793600005
2025-12-01,000735.SZ,sell,2500,8.59,8.588282,21475.0,21470.704999999998,6.442499999999999,10.7375,0.21475000000000002,4.295000000001892,21.68975000000189,306794.48961000046
2025-12-01,000738.SZ,sell,1000,18.9,18.89622,18900.0,18896.22,5.67,9.450000000000001,0.18900000000000003,3.779999999998836,19.088999999998837,325675.4006100005
2025-12-01,000767.SZ,sell,6600,2.83,2.829434,18678.0,18674.2644,5.6034,9.339,0.18678,3.7355999999999767,18.864779999999975,344334.5358300005
2025-12-01,000779.SZ,sell,2500,8.76,8.758248,21900.0,21895.62,6.569999999999999,10.950000000000001,0.21900000000000003,4.380000000001019,22.11900000000102,366212.41683000047
2025-12-01,000825.SZ,sell,100,4.0,3.9992,400.0,399.92,5.0,0.2,0.004,0.07999999999998408,5.283999999999984,366607.1328300005
2025-12-01,000848.SZ,sell,2400,7.96,7.958408,19104.0,19100.179200000002,5.731199999999999,9.552,0.19104000000000002,3.820799999997689,19.295039999997687,385691.8377900005
2025-12-01,000850.SZ,sell,200,4.61,4.609078,922.0000000000001,921.8156,5.0,0.4610000000000001,0.009220000000000002,0.18440000000009604,5.654620000000096,386608.1831700005
2025-12-01,000001.SZ,buy,100,11.23,11.232246,1123.0,1123.2246,5.0,0.0,0.01123,0.22460000000000946,5.23583000000001,385479.9473400005
2025-12-01,000026.SZ,buy,800,15.32,15.323064,12256.0,12258.4512,5.0,0.0,0.12256000000000002,2.451199999999517,7.573759999999517,373216.3735800005
2025-12-01,000153.SZ,buy,2900,6.58,6.581316,19082.0,19085.8164,5.7246,0.0,0.19082000000000002,3.816399999999703,9.731819999999704,354124.6417600005
2025-12-01,000156.SZ,buy,2400,7.84,7.841568,18816.0,18819.763199999998,5.644799999999999,0.0,0.18816000000000002,3.763199999997596,9.596159999997596,335299.0456000005
2025-12-01,000166.SZ,buy,4100,5.11,5.111022,20951.0,20955.1902,6.285299999999999,0.0,0.20951000000000003,4.190200000000914,10.685010000000913,314337.36059000046
2025-12-01,000401.SZ,buy,200,4.48,4.480896,896.0000000000001,896.1792,5.0,0.0,0.008960000000000003,0.17919999999992342,5.1881599999999235,313436.17243000044
2025-12-01,000403.SZ,buy,100,14.98,14.982996,1498.0,1498.2996,5.0,0.0,0.014980000000000002,0.29960000000005493,5.314580000000055,311932.85785000044
2025-12-01,000404.SZ,buy,200,6.55,6.55131,1310.0,1310.262,5.0,0.0,0.0131,0.2619999999999436,5.275099999999943,310617.5827500004
2025-12-01,000419.SZ,buy,2600,6.5,6.5013,16900.0,16903.379999999997,5.069999999999999,0.0,0.169,3.3799999999973807,8.61899999999738,293708.9637500004
2025-12-01,000498.SZ,buy,100,5.96,5.961192,596.0,596.1192,5.0,0.0,0.005960000000000001,0.11919999999997799,5.125159999999978,293107.8385900004
2025-12-01,000521.SZ,buy,3600,6.4,6.40128,23040.0,23044.608,6.911999999999999,0.0,0.23040000000000002,4.608000000000175,11.750400000000173,270056.0881900004
2025-12-01,000541.SZ,buy,3600,6.11,6.111222000000001,21996.0,22000.399200000003,6.5988,0.0,0.21996000000000002,4.399200000003475,11.217960000003476,248048.87023000038
2025-12-01,000544.SZ,buy,2600,8.24,8.241648,21424.0,21428.284799999998,6.427199999999999,0.0,0.21424,4.284799999997631,10.92623999999763,226613.94399000038
