date,industry,portfolio_weight,benchmark_weight,active_weight
2026-05-21,L 商务服务,0.0188138088543254,0.0096051227321238,0.0092086861222016
2026-05-21,F 批发零售,0.0212513852621277,0.0192102454642476,0.0020411397978800996
2026-05-21,P 教育,0.0,0.0021344717182497333,-0.0021344717182497333
2026-05-21,Q 卫生,0.0,0.0021344717182497333,-0.0021344717182497333
2026-05-21,R 文化传播,0.0,0.004268943436499467,-0.004268943436499467
2026-05-21,E 建筑业,0.0,0.007470651013874066,-0.007470651013874066
2026-05-21,G 运输仓储,0.0,0.007470651013874066,-0.007470651013874066
2026-05-21,J 金融业,0.0,0.007470651013874066,-0.007470651013874066
2026-05-21,N 公共环保,0.0,0.010672358591248666,-0.010672358591248666
2026-05-21,D 水电煤气,0.0,0.011739594450373533,-0.011739594450373533
2026-05-21,I 信息技术,0.0368216390947249,0.04909284951974386,-0.012271210425018962
2026-05-21,M 科研服务,0.0,0.013874066168623266,-0.013874066168623266
2026-05-21,unknown,0.4210797187117458,0.44610458911419426,-0.02502487040244844
2026-05-22,C 制造业,0.4801042596062206,0.3895410885805763,0.09056317102564432
2026-05-22,A 农林牧渔,0.0189480854914847,0.005336179295624333,0.013611906195860366
2026-05-22,B 采矿业,0.0192477441840749,0.0064034151547491995,0.0128443290293257
2026-05-22,K 房地产,0.0192390259339815,0.007470651013874066,0.011768374920107433
2026-05-22,L 商务服务,0.0183656924225545,0.0096051227321238,0.008760569690430701
2026-05-22,P 教育,0.0,0.0021344717182497333,-0.0021344717182497333
2026-05-22,Q 卫生,0.0,0.0021344717182497333,-0.0021344717182497333
2026-05-22,R 文化传播,0.0,0.004268943436499467,-0.004268943436499467
2026-05-22,E 建筑业,0.0,0.007470651013874066,-0.007470651013874066
2026-05-22,G 运输仓储,0.0,0.007470651013874066,-0.007470651013874066
2026-05-22,J 金融业,0.0,0.007470651013874066,-0.007470651013874066
2026-05-22,N 公共环保,0.0,0.010672358591248666,-0.010672358591248666
2026-05-22,D 水电煤气,0.0,0.011739594450373533,-0.011739594450373533
2026-05-22,I 信息技术,0.0358864315727382,0.04909284951974386,-0.01320641794700566
2026-05-22,M 科研服务,0.0,0.013874066168623266,-0.013874066168623266
2026-05-22,F 批发零售,0.0,0.0192102454642476,-0.0192102454642476
2026-05-22,unknown,0.3971154229397702,0.44610458911419426,-0.04898916617442406
2026-05-25,unknown,0.4834062792273937,0.44610458911419426,0.03730169011319945
2026-05-25,A 农林牧渔,0.0186143183790073,0.005336179295624333,0.013278139083382965
2026-05-25,B 采矿业,0.0195573727027466,0.0064034151547491995,0.013153957547997402
2026-05-25,K 房地产,0.0185134965128809,0.007470651013874066,0.011042845499006831
2026-05-25,L 商务服务,0.0176748986589669,0.0096051227321238,0.0080697759268431
2026-05-25,I 信息技术,0.0564911034334819,0.04909284951974386,0.007398253913738037
2026-05-25,M 科研服务,0.020818228677151,0.013874066168623266,0.006944162508527734
2026-05-25,P 教育,0.0,0.0021344717182497333,-0.0021344717182497333
