symbol,successful_source,successful_attempt_order,fallback_used,attempted_sources,failed_sources,errors
601390.SH,eastmoney,1,False,eastmoney,,
601398.SH,eastmoney,1,False,eastmoney,,
601399.SH,eastmoney,1,False,eastmoney,,
601456.SH,eastmoney,1,False,eastmoney,,
601555.SH,eastmoney,1,False,eastmoney,,
601567.SH,eastmoney,1,False,eastmoney,,
601577.SH,eastmoney,1,False,eastmoney,,
601598.SH,eastmoney,1,False,eastmoney,,
601600.SH,eastmoney,1,False,eastmoney,,
601608.SH,eastmoney,1,False,eastmoney,,
601611.SH,eastmoney,1,False,eastmoney,,
601615.SH,eastmoney,1,False,eastmoney,,
601618.SH,eastmoney,1,False,eastmoney,,
601628.SH,eastmoney,1,False,eastmoney,,
601633.SH,eastmoney,1,False,eastmoney,,
601658.SH,eastmoney,1,False,eastmoney,,
601665.SH,eastmoney,1,False,eastmoney,,
601666.SH,eastmoney,1,False,eastmoney,,
601669.SH,eastmoney,1,False,eastmoney,,
601689.SH,eastmoney,1,False,eastmoney,,
601698.SH,eastmoney,1,False,eastmoney,,
601699.SH,eastmoney,1,False,eastmoney,,
601717.SH,eastmoney,1,False,eastmoney,,
601727.SH,eastmoney,1,False,eastmoney,,
601766.SH,eastmoney,1,False,eastmoney,,
601788.SH,eastmoney,1,False,eastmoney,,
601799.SH,eastmoney,1,False,eastmoney,,
601800.SH,eastmoney,1,False,eastmoney,,
601808.SH,eastmoney,1,False,eastmoney,,
601816.SH,eastmoney,1,False,eastmoney,,
601818.SH,eastmoney,1,False,eastmoney,,
601825.SH,eastmoney,1,False,eastmoney,,
601857.SH,eastmoney,1,False,eastmoney,,
601865.SH,eastmoney,1,False,eastmoney,,
601866.SH,eastmoney,1,False,eastmoney,,
601868.SH,eastmoney,1,False,eastmoney,,
601869.SH,eastmoney,1,False,eastmoney,,
601872.SH,eastmoney,1,False,eastmoney,,
601877.SH,eastmoney,1,False,eastmoney,,
601878.SH,eastmoney,1,False,eastmoney,,
601881.SH,eastmoney,1,False,eastmoney,,
601888.SH,eastmoney,1,False,eastmoney,,
601898.SH,eastmoney,1,False,eastmoney,,
601901.SH,eastmoney,1,False,eastmoney,,
601919.SH,eastmoney,1,False,eastmoney,,
601928.SH,eastmoney,1,False,eastmoney,,
601958.SH,eastmoney,1,False,eastmoney,,
601985.SH,eastmoney,1,False,eastmoney,,
601988.SH,eastmoney,1,False,eastmoney,,
601990.SH,eastmoney,1,False,eastmoney,,
601991.SH,eastmoney,1,False,eastmoney,,
601995.SH,eastmoney,1,False,eastmoney,,
601997.SH,eastmoney,1,False,eastmoney,,
601998.SH,eastmoney,1,False,eastmoney,,
603000.SH,eastmoney,1,False,eastmoney,,
603019.SH,eastmoney,1,False,eastmoney,,
603049.SH,eastmoney,1,False,eastmoney,,
603092.SH,eastmoney,1,False,eastmoney,,
603119.SH,eastmoney,1,False,eastmoney,,
603156.SH,eastmoney,1,False,eastmoney,,
603160.SH,eastmoney,1,False,eastmoney,,
603175.SH,eastmoney,1,False,eastmoney,,
603179.SH,eastmoney,1,False,eastmoney,,
603225.SH,eastmoney,1,False,eastmoney,,
603259.SH,eastmoney,1,False,eastmoney,,
603260.SH,eastmoney,1,False,eastmoney,,
603288.SH,eastmoney,1,False,eastmoney,,
603290.SH,eastmoney,1,False,eastmoney,,
603296.SH,eastmoney,1,False,eastmoney,,
603298.SH,eastmoney,1,False,eastmoney,,
603308.SH,eastmoney,1,False,eastmoney,,
603338.SH,eastmoney,1,False,eastmoney,,
603341.SH,eastmoney,1,False,eastmoney,,
603345.SH,eastmoney,1,False,eastmoney,,
603379.SH,eastmoney,1,False,eastmoney,,
603392.SH,eastmoney,1,False,eastmoney,,
603501.SH,eastmoney,1,False,eastmoney,,
603529.SH,eastmoney,1,False,eastmoney,,
603565.SH,eastmoney,1,False,eastmoney,,
